chr1	121700000	123400000	p11.1	248956422
chr1	123400000	125100000	q11	248956422
chr10	38000000	39800000	p11.1	133797422
chr10	39800000	41600000	q11.1	133797422
chr11	51000000	53400000	p11.11	135086622
chr11	53400000	55800000	q11	135086622
chr12	33200000	35500000	p11.1	133275309
chr12	35500000	37800000	q11	133275309
chr13	16500000	17700000	p11.1	114364328
chr13	17700000	18900000	q11	114364328
chr14	16100000	17200000	p11.1	107043718
chr14	17200000	18200000	q11.1	107043718
chr15	17500000	19000000	p11.1	101991189
chr15	19000000	20500000	q11.1	101991189
chr16	35300000	36800000	p11.1	90338345
chr16	36800000	38400000	q11.1	90338345
chr17	22700000	25100000	p11.1	83257441
chr17	25100000	27400000	q11.1	83257441
chr18	15400000	18500000	p11.1	80373285
chr18	18500000	21500000	q11.1	80373285
chr19	24200000	26200000	p11	58617616
chr19	26200000	28100000	q11	58617616
chr2	91800000	93900000	p11.1	242193529
chr2	93900000	96000000	q11.1	242193529
chr20	25700000	28100000	p11.1	64444167
chr20	28100000	30400000	q11.1	64444167
chr21	10900000	12000000	p11.1	46709983
chr21	12000000	13000000	q11.1	46709983
chr22	13700000	15000000	p11.1	50818468
chr22	15000000	17400000	q11.1	50818468
chr3	87800000	90900000	p11.1	198295559
chr3	90900000	94000000	q11.1	198295559
chr4	48200000	50000000	p11	190214555
chr4	50000000	51800000	q11	190214555
chr5	46100000	48800000	p11	181538259
chr5	48800000	51400000	q11.1	181538259
chr6	58500000	59800000	p11.1	170805979
chr6	59800000	62600000	q11.1	170805979
chr7	58100000	60100000	p11.1	159345973
chr7	60100000	62100000	q11.1	159345973
chr8	43200000	45200000	p11.1	145138636
chr8	45200000	47200000	q11.1	145138636
chr9	42200000	43000000	p11.1	138394717
chr9	43000000	45500000	q11	138394717
chrX	58100000	61000000	p11.1	156040895
chrX	61000000	63800000	q11.1	156040895
chrY	10300000	10400000	p11.1	57227415
chrY	10400000	10600000	q11.1	57227415
